Operating_Point,Model,Algorithm,Threshold,Threshold_Strategy,Target_Recall,AUC,CI_low,CI_high,Precision,Recall,Specificity,F1
Youden,Model B,Random Forest,0.386,Youden index on train OOF,,0.87,0.804,0.925,0.71,0.595,0.915,0.647
Screening,Model B,Random Forest,0.18,Recall-priority on train OOF,0.8,0.87,0.804,0.925,0.532,0.892,0.726,0.667
